time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-2.05314677609e-07,2.87966037677e-07,10.0065940775,6.28268952713,0.000180966539893,0.0,-1.8392313069e-05,-7.86562856793e-06,0.219785346114,-0.0349932026709,0.0084532500147,0.0,472.19177857868397,472.84327488572546,475.5916832937717,472.90440472114346
0.12000000000000001,-6.7402850366e-06,-1.80060531441e-05,10.0221901473,6.28046449923,0.000430416494476,0.0,-0.000238704223195,-0.000815819484839,0.30006509608,-0.0416311015238,-0.00623159885875,0.0,431.4863581121003,430.24501465727707,430.7371241290451,430.17479516361425
0.18,-2.9714999254e-05,-0.000143991020941,10.0467848599,6.27810946635,6.28300175476,0.0,-0.000469784374803,-0.00367349137843,0.519683144345,-0.0348713710339,-0.0197605203463,0.0,474.2059446977847,473.1658513333506,472.9757116880158,473.49526798220865
0.23999999999999996,-4.87155104276e-05,-0.000487735458524,10.0829657153,6.27638227565,6.2814803186,0.0,-1.59854549087e-05,-0.00799540800342,0.686258379269,-0.0187771413609,-0.039943447933,0.0,459.2264902443705,457.6228233409817,456.62562652729497,457.9072721055105
0.3,-1.18412952703e-06,-0.00112512506602,10.129031101,6.27561168278,6.27873435119,0.0,0.00188218673182,-0.0133534621221,0.849145784515,-0.00303956545843,-0.0611569999417,0.0,457.3956528071518,455.70202410906234,456.6825298875906,457.9360242544561
0.36000000000000004,0.000241068528599,-0.00211798773661,10.1875308791,6.27554417576,6.27507514274,0.0,0.00664778148947,-0.019755609015,1.10063620051,0.00245271971023,-0.060648726682,0.0,483.89986423420004,483.9357992136871,482.5610769450789,482.9754616614899
0.4200000000000001,0.000852996038861,-0.00348805957634,10.2601608365,6.27555616012,6.27108942416,0.0,0.0141996787426,-0.0259016694964,1.32013073339,-0.00473745718784,-0.0816605062086,0.0,475.04252628661595,473.4256056725661,475.0935318456264,474.5419832685888
0.48000000000000015,0.00196441266249,-0.0051955168274,10.341661594,6.27509825488,6.26620011668,0.0,0.0233284582954,-0.0310486717013,1.39646370899,-0.0141604062209,-0.0811467785229,0.0,432.04193229245266,432.07965664385677,430.53866814618993,429.7408608978776
0.5400000000000001,0.0037560957352,-0.00723916871992,10.4297077052,6.27421480282,6.26142112084,0.0,0.0369127481878,-0.0371652280084,1.53821570687,-0.015876282359,-0.0768144285192,0.0,452.28455172814466,452.628332248021,451.4484018701464,451.31005166277225
0.6000000000000002,0.0064346141656,-0.00965650055612,10.5248393189,6.27336504122,6.25668072818,0.0,0.0528407995974,-0.0435022120671,1.63269522178,-0.010938789128,-0.0837938537556,0.0,437.7349240295548,437.1486497975617,437.4629304776437,437.87394452276254
0.6600000000000003,0.0100760978363,-0.0124373273431,10.6223055099,6.27265741486,6.25159190438,0.0,0.0689712520856,-0.0492499282156,1.61618787696,-0.0135610058727,-0.0869342637533,0.0,401.9422053528051,401.6507709150577,400.44005012126985,400.20156642071436
0.7200000000000003,0.0150415375881,-0.015663425192,10.7270113039,6.27194099644,6.24623105062,0.0,0.0971926443337,-0.0583779789323,1.87359513536,-0.00888142227923,-0.0946691226344,0.0,487.69869271106387,487.1147494509981,486.21447825540116,486.5650466175795
0.7800000000000004,0.021726831698,-0.0194203917045,10.8442210059,6.27177796442,6.24017355104,0.0,0.126285169596,-0.066887072884,2.03309716792,0.00740225152557,-0.118098342324,0.0,460.21113641759814,458.3442239418861,457.9520995850394,459.24548661881886
0.8400000000000004,0.0302708872496,-0.0236807651874,10.9703596735,6.27215971227,6.23343326465,0.0,0.15924713619,-0.0750777067716,2.17123651545,0.0041972063308,-0.10278191165,0.0,452.0066945276967,453.2281794681513,453.6189906713391,453.36145407425346
0.9000000000000005,0.040964016282,-0.02843013054,11.1053232502,6.27297455319,6.22691533859,0.0,0.19786957717,-0.0831669796502,2.32720504779,0.0277317968119,-0.124110961056,0.0,459.6459352847155,457.9422651339476,458.50218096311505,460.3679734244275
0.9600000000000005,0.0537168418125,-0.033571562204,11.2425688251,6.27429609742,6.22005374288,0.0,0.227769187392,-0.0881002270171,2.24777279346,0.00705084427486,-0.0997989124721,0.0,380.5198250585256,382.82561542935935,382.92925002063976,380.9569916692195
1.0200000000000005,0.0688419594175,-0.0390568583146,11.3824609045,6.27528235227,6.21371616482,0.0,0.277063778358,-0.094655736614,2.41490695019,0.0305921779231,-0.121022680401,0.0,464.4487115648057,462.77164883479713,461.4491485712021,463.30362425898556
1.0800000000000005,0.0869686824186,-0.0448962675434,11.5308933969,6.27753146284,6.20655943104,0.0,0.327894351924,-0.0997727545728,2.53252743251,0.0485738703415,-0.116004434957,0.0,448.4045886506879,448.7993814424072,447.9938276841226,449.45413944812617
1.1400000000000006,0.108182565187,-0.0509839719472,11.6849237603,6.28019926393,6.1993738941,0.0,0.379908245943,-0.102876526321,2.60159915186,0.0346232844299,-0.128577000261,0.0,434.30703651265526,433.2378209024124,434.76123630958585,433.591974735391
1.2000000000000006,0.132736251955,-0.0572099031197,11.8439727706,6.28280881809,6.19228651106,0.0,0.439272353402,-0.104411466866,2.69972941923,0.0570395177988,-0.102778376092,0.0,442.68284812651166,444.7876091138922,442.7866950129453,444.62796473033154
1.2600000000000007,0.1612951805,-0.0634683569512,12.0121788226,0.00346244730678,6.18605766173,0.0,0.513370519154,-0.103773537636,2.90654869702,0.0751338160783,-0.105968774456,0.0,477.10632609829895,476.8540941828851,477.1006918379851,478.4827811398113
